iter	Passed	Remaining
0	59	59688
1	60	29992
2	60	20059
3	60	15088
4	60	12104
5	61	10116
6	61	8697
7	61	7631
8	61	6803
9	62	6141
10	62	5598
11	62	5146
12	62	4762
13	62	4434
14	63	4151
15	63	3901
16	63	3682
17	63	3487
18	64	3315
19	64	3159
20	64	3018
21	64	2889
22	65	2770
23	65	2661
24	65	2562
25	65	2469
26	66	2382
27	66	2302
28	66	2228
29	66	2159
30	67	2095
31	67	2034
32	67	1978
33	67	1925
34	68	1875
35	68	1827
36	68	1783
37	68	1740
38	69	1700
39	69	1661
40	69	1625
41	69	1590
42	69	1557
43	70	1525
44	70	1495
45	70	1466
46	70	1438
47	71	1411
48	71	1386
49	71	1361
50	71	1338
51	72	1316
52	72	1294
53	72	1274
54	73	1255
55	73	1235
56	73	1216
57	73	1198
58	74	1180
59	74	1163
60	74	1146
61	74	1131
62	74	1115
63	75	1099
64	75	1085
65	75	1070
66	75	1056
67	76	1043
68	76	1030
69	76	1017
70	76	1004
71	77	992
72	77	981
73	77	969
74	77	958
75	77	947
76	78	937
77	78	927
78	78	917
79	78	907
80	79	898
81	79	889
82	79	878
83	79	870
84	80	861
85	80	852
86	80	844
87	80	836
88	80	828
89	81	820
90	81	813
91	81	805
92	81	798
93	82	791
94	82	784
95	82	777
96	82	771
97	83	764
98	83	757
99	83	751
100	83	745
101	84	739
102	84	733
103	84	727
104	84	721
105	84	716
106	85	711
107	85	706
108	85	700
109	85	695
110	86	690
111	86	685
112	86	680
113	86	675
114	87	671
115	87	666
116	87	661
117	87	657
118	88	652
119	88	648
120	88	644
121	88	639
122	89	635
123	89	631
124	89	627
125	89	623
126	90	618
127	90	614
128	90	611
129	90	607
130	91	603
131	91	600
132	91	596
133	91	593
134	92	589
135	92	586
136	92	582
137	92	579
138	93	576
139	93	573
140	93	569
141	93	566
142	93	562
143	94	559
144	94	556
145	94	553
146	94	550
147	95	547
148	95	544
149	95	541
150	95	538
151	96	535
152	96	533
153	96	530
154	96	527
155	96	524
156	97	521
157	97	519
158	97	516
159	97	514
160	98	510
161	98	508
162	98	505
163	98	503
164	99	501
165	99	498
166	99	496
167	99	493
168	99	491
169	100	489
170	100	486
171	100	484
172	100	482
173	101	480
174	101	477
175	101	475
176	101	473
177	102	471
178	102	469
179	102	467
180	102	465
181	103	463
182	103	461
183	103	459
184	103	457
185	104	455
186	104	453
187	104	451
188	104	449
189	105	448
190	105	446
191	105	444
192	105	442
193	106	441
194	106	439
195	106	437
196	106	435
197	107	434
198	107	432
199	107	431
200	108	429
201	108	427
202	108	426
203	108	424
204	109	423
205	109	421
206	109	420
207	109	418
208	110	417
209	110	415
210	110	413
211	110	412
212	111	410
213	111	408
214	111	407
215	111	405
216	112	404
217	112	402
218	112	401
219	112	399
220	112	398
221	113	396
222	113	395
223	113	393
224	113	392
225	114	390
226	114	389
227	114	388
228	114	386
229	115	385
230	115	383
231	115	382
232	115	381
233	115	379
234	116	378
235	116	376
236	116	375
237	116	374
238	117	373
239	117	371
240	117	370
241	117	369
242	118	367
243	118	366
244	118	365
245	118	364
246	119	363
247	119	361
248	119	360
249	119	359
250	120	358
251	120	357
252	120	356
253	120	354
254	121	353
255	121	352
256	121	351
257	121	350
258	122	349
259	122	347
260	122	346
261	122	345
262	122	344
263	123	343
